epochs,batch_size,hidden_layers,activation,learning_rate,accuracy,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1
25,32,"[64, 32]",relu,0.001,0.9027819633483887,0.8385173818095969,0.9887945434298441,0.9074766056657405,0.9874766645924082,0.8226945758538008,0.8975854632870223
25,32,"[32, 16]",relu,0.001,0.902681291103363,0.8380896226415094,0.9892817371937639,0.9074310520939735,0.9880052963626451,0.8220465297129156,0.8974177573399363
50,32,"[64, 32]",relu,0.001,0.902681291103363,0.8380896226415094,0.9892817371937639,0.9074310520939735,0.9880052963626451,0.8220465297129156,0.8974177573399363
50,64,"[16, 8]",relu,0.001,0.9024128317832947,0.8441441441441442,0.9782154788418709,0.906247985040944,0.9761959084341014,0.8318320264402825,0.8982505248425472
50,32,"[16, 8]",relu,0.001,0.9023457169532776,0.8437950072011522,0.9786330734966593,0.9062258313998454,0.9766273315569091,0.8313135895275744,0.8981306448225163
5,64,"[32, 16]",relu,0.0001,0.9023457169532776,0.8430538922155688,0.9798858574610245,0.9063344920818849,0.9779372471181006,0.8301471064739809,0.8980021030494216
50,64,"[32, 16]",relu,0.001,0.9023457169532776,0.8421115490266332,0.9814866369710468,0.9064729703670373,0.9796215429403202,0.8286566003499449,0.8978373823901138
25,64,"[64, 32]",relu,0.001,0.902312159538269,0.8434558426764195,0.9791202672605791,0.9062389280767869,0.9771341463414634,0.8307951526148661,0.8980421001015726
10,64,"[64, 32]",relu,0.001,0.9021779298782349,0.8425145044560082,0.9803730512249443,0.9062309003763631,0.978440366972477,0.8293694511049187,0.8977587597769282
5,32,"[16, 8]",relu,0.0001,0.9020437002182007,0.835216958482169,0.9926920935412027,0.9071712513913182,0.9917465807263008,0.817639815954896,0.8963165559620644
10,64,"[16, 8]",relu,0.0001,0.9013054370880127,0.8460839542067963,0.9721603563474388,0.9047511092398873,0.9699021820917983,0.8353314756010628,0.8976010584589673
50,64,"[64, 32]",relu,0.001,0.9000301957130432,0.8305950653120464,0.9957544543429844,0.9057069604026209,0.9951487195800859,0.8109001360896896,0.893626138189609
10,32,"[64, 32]",relu,0.001,0.8984865546226501,0.854535225354754,0.9514198218262806,0.9003787255063396,0.9494276191856252,0.8491996630160067,0.8965210549721205
5,64,"[16, 8]",relu,0.001,0.8984529972076416,0.8557270104127462,0.9494710467706013,0.9001649620587265,0.9476077072959515,0.8509493875963968,0.8966812346353455
2,64,"[64, 32]",relu,0.001,0.8983522653579712,0.8574941673497698,0.946478285077951,0.8997915770668607,0.9448350071736011,0.8535415721599378,0.8968710632937251
25,64,"[16, 8]",relu,0.001,0.8983187079429626,0.8486041077358258,0.9604677060133631,0.901077375122429,0.9580409248725714,0.8404510401140561,0.8954018227009114
2,32,"[64, 32]",relu,0.0001,0.8981509208679199,0.8571698707847463,0.946478285077951,0.8996130056560712,0.9448112530500933,0.8531527444754067,0.8966456666099097
50,32,"[32, 16]",relu,0.001,0.8978824615478516,0.8566929133858268,0.9465478841870824,0.8993816750983699,0.944843435794312,0.8525695029486099,0.8963379322091637
10,64,"[32, 16]",relu,0.001,0.8977482318878174,0.8583729028173472,0.9436247216035635,0.8989821967310944,0.9421593830334191,0.8550320782839739,0.8964837778155257
5,32,"[16, 8]",relu,0.001,0.8977146744728088,0.8564231738035264,0.9465478841870824,0.899233007140968,0.9448236223866657,0.8522454798781673,0.8961499148211244
2,32,"[32, 16]",relu,0.001,0.8977146744728088,0.8522529250684591,0.9530902004454342,0.8998554343540545,0.9509139902410604,0.8461538461538461,0.8954804197242987
2,64,"[16, 8]",relu,0.001,0.8973119854927063,0.8584379358437936,0.9424415367483296,0.8984805255125738,0.9410338680926916,0.8552912967403279,0.8961162411732754
2,32,"[32, 16]",relu,0.0001,0.8965066075325012,0.8242156074014481,0.998260022271715,0.9029272898961285,0.9979833830765508,0.8017626855032078,0.8891763691246227
25,32,"[16, 8]",relu,0.001,0.8961374759674072,0.8587613773789065,0.9390311804008908,0.8971042920309851,0.9378194207836457,0.8561985613375672,0.8951522748060571
10,32,"[64, 32]",relu,0.0001,0.8947615623474121,0.8588498402555911,0.9354816258351893,0.8955293490572324,0.9344830023323203,0.8568466074784524,0.8939824205544287
25,64,"[64, 32]",relu,0.0001,0.894694447517395,0.8612326299536799,0.9317232739420935,0.8950922706606045,0.9311820413889863,0.8602164474110556,0.8942936064137977
2,32,"[16, 8]",relu,0.001,0.8946273326873779,0.8611218319825036,0.9317232739420935,0.8950324262886943,0.931172384761103,0.8600868381828786,0.8942191079369357
10,64,"[32, 16]",relu,0.0001,0.8944595456123352,0.8607985597633897,0.9317928730512249,0.8948898766752448,0.9312087603537835,0.8596980104983475,0.8940256764497759
25,32,"[16, 8]",relu,0.0001,0.894325315952301,0.859008,0.9341592427616926,0.8950088353949255,0.9332580781712996,0.8572354351629836,0.8936328322918426
5,32,"[64, 32]",relu,0.001,0.8940568566322327,0.8599961466829362,0.9320016703786191,0.894552256254384,0.9313325836378971,0.8587259412870196,0.8935567618598065
10,32,"[32, 16]",relu,0.0001,0.8938555121421814,0.862457139160251,0.9278257238307349,0.8939480301760269,0.9276948821642728,0.8622253904477999,0.8937628052262117
5,64,"[64, 32]",relu,0.0001,0.8938219547271729,0.8622607346094154,0.9280345211581291,0.8939393939393939,0.9278688524590164,0.8619661719914458,0.8937042262984614
5,32,"[32, 16]",relu,0.0001,0.8937883973121643,0.8593238822246456,0.9323496659242761,0.8943485662783323,0.931597466572836,0.8578834813038688,0.8932222259707837
50,64,"[64, 32]",relu,0.0001,0.8937212824821472,0.8620466739931476,0.9281041202672605,0.8938566209739585,0.9279134682484299,0.8617069535350917,0.893585565001176
5,64,"[64, 32]",relu,0.001,0.8937212824821472,0.8620466739931476,0.9281041202672605,0.8938566209739585,0.9279134682484299,0.8617069535350917,0.893585565001176
50,32,"[32, 16]",relu,0.0001,0.8936206102371216,0.8618795243019648,0.9281041202672605,0.8937667560321716,0.9278983737000069,0.8615125396928262,0.8934740237919215
25,32,"[64, 32]",relu,0.0001,0.893587052822113,0.8617770597738288,0.928173719376392,0.8937439265489394,0.9279530857302429,0.8613829304646491,0.8934296756847588
25,64,"[16, 8]",relu,0.0001,0.8934528231620789,0.8625850340136054,0.9266425389755011,0.8934671006274536,0.9266221108326371,0.8625494135182425,0.8934384963920121
